2018-02-28T14:04:43.976+0800 I NETWORK  [conn1] received client metadata from 127.0.0.1:64682 conn1: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:47.202+0800 I REPL     [conn1] replSetInitiate admin command received from client
2018-02-28T14:04:47.206+0800 I REPL     [conn1] replSetInitiate config object with 3 members parses ok
2018-02-28T14:04:47.207+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T14:04:47.207+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27006
2018-02-28T14:04:47.208+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to 127.0.0.1:27005, took 1ms (1 connections now open to 127.0.0.1:27005)
2018-02-28T14:04:47.208+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to 127.0.0.1:27006, took 1ms (1 connections now open to 127.0.0.1:27006)
2018-02-28T14:04:47.208+0800 I REPL     [conn1] ******
2018-02-28T14:04:47.208+0800 I REPL     [conn1] creating replication oplog of size: 192MB...
2018-02-28T14:04:47.208+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64695 #2 (2 connections now open)
2018-02-28T14:04:47.209+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64696 #3 (3 connections now open)
2018-02-28T14:04:47.209+0800 I NETWORK  [conn2] received client metadata from 127.0.0.1:64695 conn2: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:47.209+0800 I NETWORK  [conn3] received client metadata from 127.0.0.1:64696 conn3: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:47.232+0800 I STORAGE  [conn1] Starting WiredTigerRecordStoreThread local.oplog.rs
